scientificName,key,originalName,matchType,status,rank,kingdom,phylum,class,order,family,genus,species
"Cupressus macrocarpa Hartw. ex Gordon","2684070","Cupressus macrocarpa","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Cupressaceae","Cupressus","Cupressus macrocarpa"
"Cupressus sempervirens L.","2684030","Cupressus sempervirens","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Cupressaceae","Cupressus","Cupressus sempervirens"
"Elaeagnus rhamnoides (L.) A. Nelson","4048241","Elaeagnus rhamnoides","EXACT","SYNONYM","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Elaeagnaceae","Hippophae","Hippophae rhamnoides"
"Erica arborea L.","5333410","Erica arborea","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Erica","Erica arborea"
"Erica scoparia L.","7946667","Erica scoparia","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Erica","Erica scoparia"
"Eucalyptus camaldulensis Dehnh.","3176197","Eucalyptus camaldulensis","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","Eucalyptus","Eucalyptus camaldulensis"
"Eucalyptus globulus Labill.","3176787","Eucalyptus globulus","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","Eucalyptus","Eucalyptus globulus"
"Eucalyptus gomphocephala DC.","3176772","Eucalyptus gomphocephala","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","Eucalyptus","Eucalyptus gomphocephala"
"Euonymus europaeus L.","3169131","Euonymus europaeus","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Celastrales","Celastraceae","Euonymus","Euonymus europaeus"
"Euonymus latifolius (L.) Mill.","7433196","Euonymus latifolius","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Celastrales","Celastraceae","Euonymus","Euonymus latifolius"
"Euonymus verrucosus Scop.","7723078","Euonymus verrucosus","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Celastrales","Celastraceae","Euonymus","Euonymus verrucosus"
"Fagus sylvatica L.","2882316","Fagus sylvatica","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Fagus","Fagus sylvatica"
"Ficus carica L.","5361909","Ficus carica","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Moraceae","Ficus","Ficus carica"
"Frangula alnus Mill.","3039454","Frangula alnus","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rhamnaceae","Frangula","Frangula alnus"
"Frangula rupestris (Scop.) Schur","3877335","Frangula rupestris","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rhamnaceae","Frangula","Frangula rupestris"
"Fraxinus angustifolia Vahl","7325877","Fraxinus angustifolia","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","Fraxinus","Fraxinus angustifolia"
"Fraxinus excelsior L.","3172358","Fraxinus excelsior","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","Fraxinus","Fraxinus excelsior"
"Fraxinus ornus L.","3172347","Fraxinus ornus","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","Fraxinus","Fraxinus ornus"
"Fraxinus pallisae Wilmott","7436938","Fraxinus pallisae","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","Fraxinus","Fraxinus pallisae"
"Fraxinus pennsylvanica Marshall","3172348","Fraxinus pennsylvanica","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","Fraxinus","Fraxinus pennsylvanica"
"Ilex aquifolium L.","5414222","Ilex aquifolium","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Aquifoliales","Aquifoliaceae","Ilex","Ilex aquifolium"
"Ilex canariensis Poir.","7315701","Ilex canariensis","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Aquifoliales","Aquifoliaceae","Ilex","Ilex canariensis"
"Juglans cinerea L.","3054352","Juglans cinerea","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fagales","Juglandaceae","Juglans","Juglans cinerea"
"Juglans nigra L.","3054357","Juglans nigra","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fagales","Juglandaceae","Juglans","Juglans nigra"
"Juglans regia L.","3054368","Juglans regia","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fagales","Juglandaceae","Juglans","Juglans regia"
"Juniperus communis L.","2684709","Juniperus communis","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Cupressaceae","Juniperus","Juniperus communis"
"Juniperus oxycedrus L.","2684451","Juniperus oxycedrus","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Cupressaceae","Juniperus","Juniperus oxycedrus"
"Juniperus phoenicea L.","2684640","Juniperus phoenicea","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Cupressaceae","Juniperus","Juniperus phoenicea"
"Juniperus sabina L.","7963890","Juniperus sabina","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Cupressaceae","Juniperus","Juniperus sabina"
"Juniperus thurifera L.","2684528","Juniperus thurifera","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Cupressaceae","Juniperus","Juniperus thurifera"
"Juniperus virginiana L.","2684391","Juniperus virginiana","EXACT","ACCEPTED","SPECIES","Plantae","Tracheophyta","Pinopsida","Pinales","Cupressaceae","Juniperus","Juniperus virginiana"
